source,id,competition_id,competition,season_id,kickoff_utc,home_id,home,away_id,away,venue,venue_city,latitude,longitude,round,stage,leg,first_leg_home_score,first_leg_away_score,aggregate_home_score,aggregate_away_score,referee
uefa,2048729,1,UEFA Champions League,2027,2026-07-28T15:00:00Z,52350,KuPS Kuopio,2609356,Sabah,Kuopion Keskuskenttä,Kuopio,62.895198,27.666192,Second qualifying round,QUALIFYING,2,0,1,0,1,Gal Leibovitz
uefa,2048727,1,UEFA Champions League,2027,2026-07-28T16:00:00Z,2605572,L. Red Imps,74233,Mjällby,Europa Point Stadium,Gibraltar,36.110556,-5.345833,Second qualifying round,QUALIFYING,2,0,3,0,3,Alexandros Tsakalidis
uefa,2048767,2019,UEFA Conference League,2027,2026-07-28T17:00:00Z,2607924,Riga,53080,Vardar,Skonto Stadions,Riga,56.961378,24.116383,Second qualifying round,QUALIFYING,2,3,2,3,2,Goga Kikacheishvili
uefa,2048781,2019,UEFA Conference League,2027,2026-07-28T17:00:00Z,52741,Apollon,64467,Dila,Limassol Stadium,Limassol,34.698092,33.040767,Second qualifying round,QUALIFYING,2,4,0,4,0,Klym Zabroda
uefa,2048807,2019,UEFA Conference League,2027,2026-07-28T17:30:00Z,2610262,CSKA 1948,52904,Spartak Trnava,Natsionalen Stadion Vasil Levski,Sofia,42.6876,23.335369,Second qualifying round,QUALIFYING,2,0,0,0,0,Walter Altmann
uefa,2048735,1,UEFA Champions League,2027,2026-07-28T18:00:00Z,50164,GNK Dinamo,80409,Thun,Stadion Maksimir,Zagreb,45.8188722,16.0180528,Second qualifying round,QUALIFYING,2,1,1,1,1,Radoslav Gidzhenov
uefa,2048766,2019,UEFA Conference League,2027,2026-07-28T18:00:00Z,2608290,Drita,50092,Floriana,Stadiumi Fadil Vokrri,Pristina,42.66311,21.157107,Second qualifying round,QUALIFYING,2,1,1,1,1,Horațiu Feșnic
uefa,2048738,1,UEFA Champions League,2027,2026-07-28T18:15:00Z,59030,Celje,88148,Egnatia,Stadion Celje,Celje,46.2464694,15.2699694,Second qualifying round,QUALIFYING,2,3,3,3,3,Joey Kooij
uefa,2048740,1,UEFA Champions League,2027,2026-07-28T18:45:00Z,50120,Hearts,50111,Sturm Graz,Tynecastle Park,Edinburgh,55.9389972,-3.2324556,Second qualifying round,QUALIFYING,2,0,4,0,4,Andris Treimanis
uefa,2048732,1,UEFA Champions League,2027,2026-07-28T19:00:00Z,52381,Shamrock Rovers,2610304,Ararat-Armenia,Tallaght Stadium,Dublin,53.283511,-6.373739,Second qualifying round,QUALIFYING,2,0,2,0,2,Sam Barrott
uefa,2048770,2019,UEFA Conference League,2027,2026-07-29T14:30:00Z,2608311,Dukagjini,8538,Lugano,Kampi Nacional Hajvalia,Pristina,42.626315,21.185962,Second qualifying round,QUALIFYING,2,0,1,0,1,Karel Rouček
uefa,2048734,1,UEFA Champions League,2027,2026-07-29T15:00:00Z,79970,Kairat Almaty,50077,Omonia,Almaty Ortalyk Stadion,Almaty,43.238494,76.924158,Second qualifying round,QUALIFYING,2,0,1,0,1,Rohit Saggi
uefa,2048730,1,UEFA Champions League,2027,2026-07-29T16:00:00Z,2605907,Kauno Žalgiris,57475,Klaksvík,Jonava City Stadium,Jonava,55.077825,24.270892,Second qualifying round,QUALIFYING,2,0,0,0,0,David Šmajc
